,企業名,求人名,給与,勤務地,詳細ページ
0,Sansan 株式会社　エンジニア職・デザイナー職採用,WEBアプリ開発エンジニア[Bill One](大阪・福岡)┃Sansan・Eightに続く注目の新規サービス,784万円〜1414万円,大阪府，福岡県,https://www.green-japan.com/company/1517/job/115468
1,株式会社 グラフ,【データサイエンティスト（AWS、GCP経験者歓迎）】ビジネス戦略から携わるデータサイエンティスト,450万円〜550万円,東京都,https://www.green-japan.com/company/6989/job/148817
2,株式会社 データミックス,経営人材の候補者：シニアデータサイエンティスト,1000万円〜1500万円,東京都,https://www.green-japan.com/company/6991/job/145979
3,株式会社 フライウィール,【データサイエンティスト】IPO準備中企業 FLYWHEEL！GAFAM出身のデータスペシャリストと一緒にビジネスの中核を担うデータサイエンティスト募集！,500万円〜900万円,東京都,https://www.green-japan.com/company/6730/job/116607
4,株式会社 visumo,500社以上導入の成長中スタートアップSaaS企業/ビジュアルに特化したマーケティングツールのUI/UXデザイナーを募集します！,500万円〜800万円,東京都,https://www.green-japan.com/company/7790/job/195941
5,トランスコスモス 株式会社,【Webディレクター】大手850社との取引実績あり！日本有数のデジタルマーケティングでキャリアを伸ばしたい方歓迎！＜東証プライム上場企業＞,400万円〜800万円,東京都,https://www.green-japan.com/company/2157/job/52353
6,株式会社 スマートウィル,【データサイエンティスト（アナリスト）】GAP、HUGOBOSS、マイケルコースなど大手クライアントのビッグデータの分析、解析を担当！,400万円〜1200万円,東京都,https://www.green-japan.com/company/4832/job/48243
7,AlpacaTech 株式会社,創業期のデータサイエンティストを募集しています！,500万円〜800万円,東京都,https://www.green-japan.com/company/9182/job/188593
8,株式会社 ブレインパッド,データサイエンティスト～データ分析領域のリーディングカンパニー～,600万円〜1300万円,東京都,https://www.green-japan.com/company/64/job/44893
9,Fabeee 株式会社,【攻めのDXでビジネス変革】分析実務未経験からデータサイエンティストに挑戦/エンジニア経験歓迎,500万円〜600万円,東京都,https://www.green-japan.com/company/2780/job/188127
